feature,coefficient,abs_coefficient
loan_grade,1.1751901879447666,1.1751901879447666
person_home_ownership,0.2896471867599701,0.2896471867599701
loan_intent,-0.12391070457319185,0.12391070457319185
cb_person_default_on_file,0.12188154597731174,0.12188154597731174
loan_int_rate,-0.08772663055552082,0.08772663055552082
loan_percent_income,0.06465351765657583,0.06465351765657583
person_emp_length,-0.011654957727852739,0.011654957727852739
cb_person_cred_hist_length,0.010907229953562084,0.010907229953562084
person_age,0.0005190766603909654,0.0005190766603909654
loan_amnt,0.0001512233899005026,0.0001512233899005026
person_income,-4.2289275260886344e-05,4.2289275260886344e-05
